Month,Year,Crime_Category,Subcategory,Cases,Source_File,Page_Number,Table_Number
December,2022,Robbery,Robbery (Except Chain Snatching),119,crime_31.pdf,5,1
December,2022,Robbery,Total Robbery,170,crime_31.pdf,5,1
December,2022,Burglary,Burglary Night,398,crime_31.pdf,6,1
December,2022,Burglary,Burglary Day,77,crime_31.pdf,6,1
December,2022,Burglary,Total,475,crime_31.pdf,6,1
December,2022,Theft,Reported,1952,crime_31.pdf,7,1
December,2022,Riots,Riots,317,crime_31.pdf,8,1
December,2022,Hurt,Cases of Hurt,1318,crime_31.pdf,9,1
December,2022,Special & Local Laws,Special & Local Laws,4383,crime_31.pdf,10,1
December,2022,Crime against Women,Rape,46,crime_31.pdf,11,1
December,2022,Crime against Women,Dowry Death,16,crime_31.pdf,11,1
December,2022,POCSO,POCSO,272,crime_31.pdf,12,1
December,2022,SC/ST POA Act,SC/ST POA Act,174,crime_31.pdf,13,1
December,2022,Cyber Crimes,Cyber Crimes,1232,crime_31.pdf,15,1
December,2022,Economic Offences,Economic Offences,701,crime_31.pdf,16,1
December,2022,MMDR & KMMCR,MMDR Act,9,crime_31.pdf,17,1
December,2022,MMDR & KMMCR,KMMC Rules,5,crime_31.pdf,17,1
December,2022,Motor Vehicles Theft,Motor Vehicles Theft Cases,1013,crime_31.pdf,18,1
December,2022,NDPS Cases,NDPS Cases,779,crime_31.pdf,19,1
January,2022.0,Security Cases,Security Cases,680,crime_31.pdf,14,1
January,2022.0,Security Cases,Total,1071,crime_31.pdf,14,1
February,2022.0,Security Cases,Security Cases,1480,crime_32.pdf,14,1
February,2022.0,Security Cases,Total,2375,crime_32.pdf,14,1
March,2022.0,Security Cases,Security Cases,1739,crime_33.pdf,14,1
March,2022.0,Security Cases,Total,2681,crime_33.pdf,14,1
April,2022.0,Security Cases,Security Cases,1035,crime_34.pdf,66,1
April,2022.0,Security Cases,Total,1712,crime_34.pdf,66,1
May,2022.0,Security Cases,Security Cases,1949,crime_35.pdf,14,1
May,2022.0,Security Cases,Total,3340,crime_35.pdf,14,1
June,2022.0,Security Cases,Security Cases,4339,crime_36.pdf,14,1
June,2022.0,Security Cases,Total,8142,crime_36.pdf,14,1
July,2022.0,Security Cases,Security Cases,4022,crime_37.pdf,14,1
July,2022.0,Security Cases,Total,7034,crime_37.pdf,14,1
August,2022.0,Security Cases,Security Cases,3554,crime_38.pdf,14,1
August,2022.0,Security Cases,Total,6257,crime_38.pdf,14,1
September,2022.0,Security Cases,Security Cases,1213,crime_39.pdf,14,1
September,2022.0,Security Cases,Total,2107,crime_39.pdf,14,1
October,2022.0,Security Cases,Security Cases,832,crime_40.pdf,14,1
October,2022.0,Security Cases,Total,1635,crime_40.pdf,14,1
November,2022.0,Security Cases,Security Cases,992,crime_41.pdf,14,1
November,2022.0,Security Cases,Total,1891,crime_41.pdf,14,1
December,2022.0,Security Cases,Security Cases,1185,crime_31.pdf,14,1
