Month,Year,Crime_Category,Subcategory,Cases,Duplicate_Count,Source_Files
April,2026,NDPS Cases,NDPS Cases,940,2,crime_4_page_19_table_01.csv | crime_5_page_19_table_01.csv
August,2023,Burglary,Burglary Day,136,2,crime_38_page_06_table_01.csv | crime_39_page_06_table_01.csv
August,2023,Crime against Women,Rape,51,2,crime_38_page_11_table_01.csv | crime_39_page_11_table_01.csv
August,2023,Cyber Crimes,Cyber Crimes,2196,2,crime_38_page_15_table_01.csv | crime_39_page_15_table_01.csv
October,2024,Murder,Other Murders,96,2,crime_28_page_03_table_01.csv | crime_29_page_03_table_01.csv
October,2024,Murder,Total Murder,99,2,crime_28_page_03_table_01.csv | crime_29_page_03_table_01.csv
August,2023,MMDR & KMMCR,KMMC Rules,4,2,crime_38_page_17_table_01.csv | crime_39_page_17_table_01.csv
October,2024,POCSO,POCSO,237,2,crime_28_page_12_table_01.csv | crime_29_page_12_table_01.csv
October,2024,Riots,Riots,199,2,crime_28_page_08_table_01.csv | crime_29_page_08_table_01.csv
October,2024,Robbery,Chain Snatching,33,2,crime_28_page_05_table_01.csv | crime_29_page_05_table_01.csv
October,2024,Robbery,Robbery (Except Chain Snatching),59,2,crime_28_page_05_table_01.csv | crime_29_page_05_table_01.csv
October,2024,Robbery,Total Robbery,92,2,crime_28_page_05_table_01.csv | crime_29_page_05_table_01.csv
October,2024,SC/ST POA Act,SC/ST POA Act,164,2,crime_28_page_13_table_01.csv | crime_29_page_13_table_01.csv
October,2024,Special & Local Laws,Special & Local Laws,4321,2,crime_28_page_10_table_01.csv | crime_29_page_10_table_01.csv
October,2024,Theft,Reported,1768,2,crime_28_page_07_table_01.csv | crime_29_page_07_table_01.csv
August,2023,MMDR & KMMCR,MMDR Act,13,2,crime_38_page_17_table_01.csv | crime_39_page_17_table_01.csv
August,2023,Murder,Murder for gain,2,2,crime_25_page_03_table_01.csv | crime_39_page_03_table_01.csv
October,2025,Crime against Women,Rape,50,2,crime_15_page_11_table_01.csv | crime_16_page_11_table_01.csv
October,2025,Dacoity,Dacoity Cases,17,2,crime_15_page_04_table_01.csv | crime_16_page_04_table_01.csv
October,2025,MMDR & KMMCR,KMMC Rules,2,2,crime_15_page_17_table_01.csv | crime_16_page_17_table_01.csv
October,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,815,2,crime_15_page_18_table_01.csv | crime_16_page_18_table_01.csv
October,2025,NDPS Cases,NDPS Cases,423,2,crime_15_page_19_table_01.csv | crime_16_page_19_table_01.csv
September,2023,Crime against Women,Dowry Death,22,2,crime_39_page_11_table_01.csv | crime_40_page_11_table_01.csv
September,2023,Cyber Crimes,Cyber Crimes,2021,2,crime_26_page_15_table_01.csv | crime_39_page_15_table_01.csv
August,2023,Murder,Total Murder,102,2,crime_38_page_03_table_01.csv | crime_39_page_03_table_01.csv
August,2023,Robbery,Robbery (Except Chain Snatching),155,2,crime_38_page_05_table_01.csv | crime_39_page_05_table_01.csv
September,2023,NDPS Cases,NDPS Cases,507,2,crime_39_page_19_table_01.csv | crime_40_page_19_table_01.csv
September,2023,Riots,Riots,332,2,crime_26_page_08_table_01.csv | crime_39_page_08_table_01.csv
September,2023,Robbery,Total Robbery,170,2,crime_39_page_05_table_01.csv | crime_40_page_05_table_01.csv
September,2023,SC/ST POA Act,SC/ST POA Act,204,2,crime_26_page_13_table_01.csv | crime_40_page_13_table_01.csv
August,2024,Burglary,Burglary Day,109,2,crime_25_page_06_table_01.csv | crime_26_page_06_table_01.csv
September,2024,Burglary,Burglary Night,284,2,crime_14_page_06_table_01.csv | crime_14_page_60_table_01.csv
September,2024,Burglary,Total,381,2,crime_14_page_06_table_01.csv | crime_14_page_60_table_01.csv
September,2024,Crime against Women,Dowry Death,15,2,crime_14_page_11_table_01.csv | crime_14_page_65_table_01.csv
September,2024,Crime against Women,Rape,58,2,crime_14_page_11_table_01.csv | crime_14_page_65_table_01.csv
September,2024,Cyber Crimes,Cyber Crimes,1738,2,crime_14_page_15_table_01.csv | crime_14_page_69_table_01.csv
September,2024,Dacoity,Dacoity Cases,11,2,crime_14_page_04_table_01.csv | crime_14_page_58_table_01.csv
September,2024,Economic Offences,Economic Offences,577,2,crime_14_page_16_table_01.csv | crime_14_page_70_table_01.csv
September,2024,Economic Offences,Economic Offences,578,2,crime_26_page_16_table_01.csv | crime_27_page_16_table_01.csv
September,2024,Hurt,Cases of Hurt,1334,2,crime_14_page_09_table_01.csv | crime_14_page_63_table_01.csv
August,2024,Burglary,Burglary Night,320,2,crime_25_page_06_table_01.csv | crime_26_page_06_table_01.csv
September,2024,MMDR & KMMCR,MMDR Act,2,2,crime_26_page_17_table_01.csv | crime_27_page_17_table_01.csv
September,2024,MMDR & KMMCR,MMDR Act,3,2,crime_14_page_17_table_01.csv | crime_14_page_71_table_01.csv
September,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,881,2,crime_14_page_18_table_01.csv | crime_14_page_72_table_01.csv
August,2024,Burglary,Total,429,2,crime_25_page_06_table_01.csv | crime_26_page_06_table_01.csv
September,2024,Murder,Other Murders,90,2,crime_14_page_03_table_01.csv | crime_14_page_57_table_01.csv
September,2024,Murder,Total Murder,92,2,crime_14_page_03_table_01.csv | crime_14_page_57_table_01.csv
September,2024,NDPS Cases,NDPS Cases,339,2,crime_26_page_19_table_01.csv | crime_27_page_19_table_01.csv
September,2024,NDPS Cases,NDPS Cases,340,2,crime_14_page_19_table_01.csv | crime_14_page_73_table_01.csv
September,2024,POCSO,POCSO,339,2,crime_14_page_12_table_01.csv | crime_14_page_66_table_01.csv
September,2024,Riots,Riots,284,2,crime_14_page_08_table_01.csv | crime_14_page_62_table_01.csv
September,2024,Robbery,Chain Snatching,38,2,crime_14_page_05_table_01.csv | crime_14_page_59_table_01.csv
September,2024,Robbery,Robbery (Except Chain Snatching),54,2,crime_14_page_05_table_01.csv | crime_14_page_59_table_01.csv
September,2024,Robbery,Total Robbery,92,2,crime_14_page_05_table_01.csv | crime_14_page_59_table_01.csv
September,2024,Robbery,Total Robbery,94,2,crime_26_page_05_table_01.csv | crime_27_page_05_table_01.csv
September,2024,SC/ST POA Act,SC/ST POA Act,180,2,crime_14_page_13_table_01.csv | crime_14_page_67_table_01.csv
April,2023,Burglary,Total,335,2,crime_34_page_06_table_01.csv | crime_34_page_58_table_01.csv
September,2024,Theft,Reported,1747,2,crime_14_page_07_table_01.csv | crime_14_page_61_table_01.csv
September,2024.0,Security Cases,Security Cases,1797,2,crime_26_page_14_table_01.csv | crime_27_page_14_table_01.csv
September,2024.0,Security Cases,Security Cases,1875,2,crime_14_page_14_table_01.csv | crime_14_page_68_table_01.csv
September,2024.0,Security Cases,Total,2155,2,crime_26_page_14_table_01.csv | crime_27_page_14_table_01.csv
September,2024.0,Security Cases,Total,2682,2,crime_14_page_14_table_01.csv | crime_14_page_68_table_01.csv
September,2025,Burglary,Burglary Day,97,2,crime_14_page_06_table_01.csv | crime_14_page_60_table_01.csv
September,2025,Burglary,Burglary Night,302,2,crime_14_page_06_table_01.csv | crime_14_page_60_table_01.csv
September,2025,Burglary,Total,399,2,crime_14_page_06_table_01.csv | crime_14_page_60_table_01.csv
August,2024,Crime against Women,Dowry Death,10,2,crime_25_page_11_table_01.csv | crime_26_page_11_table_01.csv
September,2025,Crime against Women,Rape,70,2,crime_14_page_11_table_01.csv | crime_14_page_65_table_01.csv
September,2025,Cyber Crimes,Cyber Crimes,1296,2,crime_14_page_15_table_01.csv | crime_14_page_69_table_01.csv
August,2024,Cyber Crimes,Cyber Crimes,1774,2,crime_25_page_15_table_01.csv | crime_26_page_15_table_01.csv
September,2025,Economic Offences,Economic Offences,574,2,crime_14_page_16_table_01.csv | crime_14_page_70_table_01.csv
September,2025,Hurt,Cases of Hurt,1323,2,crime_14_page_09_table_01.csv | crime_14_page_63_table_01.csv
April,2022,Murder,Other Murders,123,2,crime_34_page_03_table_01.csv | crime_34_page_55_table_01.csv
August,2024,Dacoity,Dacoity Cases,14,2,crime_13_page_04_table_01.csv | crime_25_page_04_table_01.csv
August,2024,Economic Offences,Economic Offences,580,2,crime_13_page_16_table_01.csv | crime_26_page_16_table_01.csv
September,2025,Murder,Murder for gain,4,2,crime_14_page_03_table_01.csv | crime_14_page_57_table_01.csv
September,2025,Murder,Other Murders,96,2,crime_14_page_03_table_01.csv | crime_14_page_57_table_01.csv
September,2025,Murder,Total Murder,100,2,crime_14_page_03_table_01.csv | crime_14_page_57_table_01.csv
September,2025,NDPS Cases,NDPS Cases,452,2,crime_14_page_19_table_01.csv | crime_14_page_73_table_01.csv
September,2025,POCSO,POCSO,338,2,crime_14_page_12_table_01.csv | crime_14_page_66_table_01.csv
September,2025,Riots,Riots,261,2,crime_14_page_08_table_01.csv | crime_14_page_62_table_01.csv
September,2025,Robbery,Chain Snatching,27,2,crime_14_page_05_table_01.csv | crime_14_page_59_table_01.csv
September,2025,Robbery,Robbery (Except Chain Snatching),63,2,crime_14_page_05_table_01.csv | crime_14_page_59_table_01.csv
August,2024,Hurt,Cases of Hurt,1246,2,crime_25_page_09_table_01.csv | crime_26_page_09_table_01.csv
September,2025,SC/ST POA Act,SC/ST POA Act,206,2,crime_14_page_13_table_01.csv | crime_14_page_67_table_01.csv
September,2025,Special & Local Laws,Special & Local Laws,4991,2,crime_14_page_10_table_01.csv | crime_14_page_64_table_01.csv
September,2025,Theft,Reported,1613,2,crime_14_page_07_table_01.csv | crime_14_page_61_table_01.csv
September,2025.0,Security Cases,Security Cases,1028,2,crime_14_page_14_table_01.csv | crime_14_page_68_table_01.csv
April,2022,Burglary,Burglary Day,76,2,crime_34_page_06_table_01.csv | crime_34_page_58_table_01.csv
