Month,Year,Crime_Category,Subcategory,Cases,Duplicate_Count,Source_Files
August,2025.0,Security Cases,Security Cases,3932,2,crime_14_page_14_table_01.csv | crime_14_page_68_table_01.csv
August,2025.0,Security Cases,Total,6865,2,crime_14_page_14_table_01.csv | crime_14_page_68_table_01.csv
December,2023,Burglary,Burglary Day,110,2,crime_18_page_06_table_01.csv | crime_30_page_06_table_01.csv
December,2023,Burglary,Burglary Night,443,2,crime_18_page_06_table_01.csv | crime_30_page_06_table_01.csv
December,2023,Burglary,Total,553,2,crime_18_page_06_table_01.csv | crime_30_page_06_table_01.csv
December,2023,MMDR & KMMCR,KMMC Rules,7,2,crime_18_page_17_table_01.csv | crime_30_page_17_table_01.csv
December,2023,MMDR & KMMCR,MMDR Act,4,2,crime_18_page_17_table_01.csv | crime_30_page_17_table_01.csv
December,2023,Murder,Total Murder,122,2,crime_18_page_03_table_01.csv | crime_30_page_03_table_01.csv
December,2023.0,Security Cases,Security Cases,1293,2,crime_18_page_14_table_01.csv | crime_30_page_14_table_01.csv
December,2023.0,Security Cases,Total,2376,2,crime_18_page_14_table_01.csv | crime_30_page_14_table_01.csv
December,2024,Crime against Women,Dowry Death,6,2,crime_17_page_11_table_01.csv | crime_6_page_11_table_01.csv
December,2024,Dacoity,Dacoity Cases,12,2,crime_30_page_04_table_01.csv | crime_6_page_04_table_01.csv
December,2024,Hurt,Cases of Hurt,1300,2,crime_30_page_09_table_01.csv | crime_6_page_09_table_01.csv
December,2024,MMDR & KMMCR,KMMC Rules,2,2,crime_17_page_17_table_01.csv | crime_6_page_17_table_01.csv
December,2024,MMDR & KMMCR,MMDR Act,5,2,crime_17_page_17_table_01.csv | crime_6_page_17_table_01.csv
December,2024,Murder,Murder for gain,7,2,crime_30_page_03_table_01.csv | crime_6_page_03_table_01.csv
December,2024,Murder,Other Murders,87,2,crime_17_page_03_table_01.csv | crime_6_page_03_table_01.csv
December,2024,Murder,Total Murder,95,2,crime_17_page_03_table_01.csv | crime_30_page_03_table_01.csv
December,2024,Robbery,Chain Snatching,40,2,crime_17_page_05_table_01.csv | crime_30_page_05_table_01.csv
December,2024.0,Security Cases,Total,1949,2,crime_17_page_14_table_01.csv | crime_6_page_14_table_01.csv
December,2025,Burglary,Burglary Day,105,2,crime_17_page_06_table_01.csv | crime_1_page_06_table_01.csv
December,2025,Crime against Women,Rape,41,2,crime_17_page_11_table_01.csv | crime_1_page_11_table_01.csv
December,2025,Cyber Crimes,Cyber Crimes,1286,2,crime_17_page_15_table_01.csv | crime_1_page_15_table_01.csv
December,2025,Dacoity,Dacoity Cases,14,2,crime_17_page_04_table_01.csv | crime_1_page_04_table_01.csv
December,2025,Economic Offences,Economic Offences,710,2,crime_17_page_16_table_01.csv | crime_1_page_16_table_01.csv
December,2025,MMDR & KMMCR,KMMC Rules,3,2,crime_17_page_17_table_01.csv | crime_1_page_17_table_01.csv
December,2025,Motor Vehicles Theft,Motor Vehicles Theft Cases,795,2,crime_17_page_18_table_01.csv | crime_1_page_18_table_01.csv
December,2025,Murder,Murder for gain,2,2,crime_17_page_03_table_01.csv | crime_1_page_03_table_01.csv
December,2025,Robbery,Chain Snatching,42,2,crime_17_page_05_table_01.csv | crime_1_page_05_table_01.csv
February,2023,Burglary,Burglary Day,77,2,crime_19_page_06_table_01.csv | crime_32_page_06_table_01.csv
February,2023,Burglary,Burglary Night,371,2,crime_32_page_06_table_01.csv | crime_33_page_06_table_01.csv
February,2023,Crime against Women,Rape,54,2,crime_19_page_11_table_01.csv | crime_33_page_11_table_01.csv
February,2023,Cyber Crimes,Cyber Crimes,1370,2,crime_32_page_15_table_01.csv | crime_33_page_15_table_01.csv
February,2023,Dacoity,Dacoity Cases,14,2,crime_19_page_04_table_01.csv | crime_32_page_04_table_01.csv
February,2023,MMDR & KMMCR,KMMC Rules,4,2,crime_32_page_17_table_01.csv | crime_33_page_17_table_01.csv
February,2023,MMDR & KMMCR,MMDR Act,6,2,crime_32_page_17_table_01.csv | crime_33_page_17_table_01.csv
February,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,859,2,crime_19_page_18_table_01.csv | crime_33_page_18_table_01.csv
February,2023,Murder,Other Murders,114,2,crime_19_page_03_table_01.csv | crime_33_page_03_table_01.csv
February,2023,SC/ST POA Act,SC/ST POA Act,145,2,crime_19_page_13_table_01.csv | crime_32_page_13_table_01.csv
February,2024,Burglary,Burglary Day,99,2,crime_20_page_06_table_01.csv | crime_7_page_06_table_01.csv
February,2024,Crime against Women,Dowry Death,14,2,crime_20_page_11_table_01.csv | crime_7_page_11_table_01.csv
February,2024,Cyber Crimes,Cyber Crimes,2004,2,crime_19_page_15_table_01.csv | crime_20_page_15_table_01.csv
February,2024,MMDR & KMMCR,MMDR Act,8,2,crime_19_page_17_table_01.csv | crime_7_page_17_table_01.csv
February,2024,Motor Vehicles Theft,Motor Vehicles Theft Cases,1025,2,crime_19_page_18_table_01.csv | crime_20_page_18_table_01.csv
February,2024,Robbery,Chain Snatching,67,2,crime_19_page_05_table_01.csv | crime_20_page_05_table_01.csv
