Month,Year,Crime_Category,Subcategory,Old_Cases,New_Cases,Kept_Source_File,Removed_Source_File,Resolution_Reason
September,2023,SC/ST POA Act,SC/ST POA Act,204 | 202,204,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Cyber Crimes,Cyber Crimes,2021,2023,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Economic Offences,Economic Offences,675 | 677,672,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,MMDR & KMMCR,MMDR Act,15 | 16,17,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,Motor Vehicles Theft,Motor Vehicles Theft Cases,1158 | 1154,1155,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
September,2023,NDPS Cases,NDPS Cases,506 | 507,507,crime_40.pdf,crime_26.pdf | crime_39.pdf,Updated in latest report
October,2023,Murder,Other Murders,115 | 112,116,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Murder,Total Murder,115 | 112,116,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Dacoity,Dacoity Cases,14 | 13,12,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Robbery,Chain Snatching,64 | 63,62,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Robbery,Robbery (Except Chain Snatching),111 | 114,115,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Robbery,Total Robbery,175 | 177,177,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Theft,Reported,2387 | 2392,2393,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Riots,Riots,339 | 332,332,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Hurt,Cases of Hurt,1514 | 1499,1498,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Special & Local Laws,Special & Local Laws,5286 | 5224,5248,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
October,2023,Crime against Women,Rape,54 | 57,56,crime_41.pdf,crime_27.pdf | crime_40.pdf,Updated in latest report
