2026-07-08 15:06:08,671 - PDF name: crime 11.pdf | Page number: 25 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:08,822 - PDF name: crime 11.pdf | Page number: 26 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:08,942 - PDF name: crime 11.pdf | Page number: 27 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:09,057 - PDF name: crime 11.pdf | Page number: 28 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:09,181 - PDF name: crime 11.pdf | Page number: 29 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:09,308 - PDF name: crime 11.pdf | Page number: 30 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:09,482 - PDF name: crime 11.pdf | Page number: 31 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:09,607 - PDF name: crime 11.pdf | Page number: 32 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:09,759 - PDF name: crime 11.pdf | Page number: 33 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:09,863 - PDF name: crime 11.pdf | Page number: 34 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:09,971 - PDF name: crime 11.pdf | Page number: 35 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:10,050 - PDF name: crime 11.pdf | Page number: 36 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:10,107 - PDF name: crime 11.pdf | Page number: 37 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:10,135 - PDF name: crime 11.pdf | Page number: 38 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:10,169 - PDF name: crime 11.pdf | Page number: 39 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:10,281 - PDF name: crime 11.pdf | Page number: 40 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:10,582 - PDF name: crime 11.pdf | Page number: 41 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:10,906 - PDF name: crime 11.pdf | Page number: 42 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:11,000 - PDF name: crime 11.pdf | Page number: 43 | Tables extracted: 2 | Success | Error message: None
2026-07-08 15:06:11,077 - PDF name: crime 11.pdf | Page number: 44 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:11,593 - PDF name: crime 11.pdf | Page number: 45 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,028 - PDF name: crime 11.pdf | Page number: 46 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,112 - PDF name: crime 11.pdf | Page number: 47 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,194 - PDF name: crime 11.pdf | Page number: 48 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,243 - PDF name: crime 11.pdf | Page number: 49 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,288 - PDF name: crime 11.pdf | Page number: 50 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,321 - PDF name: crime 11.pdf | Page number: 51 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,388 - PDF name: crime 11.pdf | Page number: 52 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,503 - PDF name: crime 11.pdf | Page number: 53 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,721 - PDF name: crime 12.pdf | Page number: 2 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,766 - PDF name: crime 12.pdf | Page number: 3 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:12,863 - PDF name: crime 12.pdf | Page number: 4 | Tables extracted: 2 | Success | Error message: None
2026-07-08 15:06:13,093 - PDF name: crime 12.pdf | Page number: 5 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:13,372 - PDF name: crime 12.pdf | Page number: 6 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:13,512 - PDF name: crime 12.pdf | Page number: 7 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:13,654 - PDF name: crime 12.pdf | Page number: 8 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:13,789 - PDF name: crime 12.pdf | Page number: 9 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:13,914 - PDF name: crime 12.pdf | Page number: 10 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:14,113 - PDF name: crime 12.pdf | Page number: 11 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:14,336 - PDF name: crime 12.pdf | Page number: 12 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:14,490 - PDF name: crime 12.pdf | Page number: 13 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:14,927 - PDF name: crime 12.pdf | Page number: 14 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:15,755 - PDF name: crime 12.pdf | Page number: 15 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:15,931 - PDF name: crime 12.pdf | Page number: 16 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:16,135 - PDF name: crime 12.pdf | Page number: 17 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:16,288 - PDF name: crime 12.pdf | Page number: 18 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:16,533 - PDF name: crime 12.pdf | Page number: 19 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:18,218 - PDF name: crime 12.pdf | Page number: 20 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:18,670 - PDF name: crime 12.pdf | Page number: 21 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:19,225 - PDF name: crime 12.pdf | Page number: 22 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:19,810 - PDF name: crime 12.pdf | Page number: 23 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:20,311 - PDF name: crime 12.pdf | Page number: 24 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:20,976 - PDF name: crime 12.pdf | Page number: 25 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:21,529 - PDF name: crime 12.pdf | Page number: 26 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:22,086 - PDF name: crime 12.pdf | Page number: 27 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:22,589 - PDF name: crime 12.pdf | Page number: 28 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:23,099 - PDF name: crime 12.pdf | Page number: 29 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:23,599 - PDF name: crime 12.pdf | Page number: 30 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:24,229 - PDF name: crime 12.pdf | Page number: 31 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:24,739 - PDF name: crime 12.pdf | Page number: 32 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:25,342 - PDF name: crime 12.pdf | Page number: 33 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:25,762 - PDF name: crime 12.pdf | Page number: 34 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:26,181 - PDF name: crime 12.pdf | Page number: 35 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:26,498 - PDF name: crime 12.pdf | Page number: 36 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:26,754 - PDF name: crime 12.pdf | Page number: 37 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:26,848 - PDF name: crime 12.pdf | Page number: 38 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:26,998 - PDF name: crime 12.pdf | Page number: 39 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:27,470 - PDF name: crime 12.pdf | Page number: 40 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:28,664 - PDF name: crime 12.pdf | Page number: 41 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:30,009 - PDF name: crime 12.pdf | Page number: 42 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:30,482 - PDF name: crime 12.pdf | Page number: 43 | Tables extracted: 2 | Success | Error message: None
2026-07-08 15:06:30,848 - PDF name: crime 12.pdf | Page number: 44 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:32,886 - PDF name: crime 12.pdf | Page number: 45 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:34,346 - PDF name: crime 12.pdf | Page number: 46 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:34,432 - PDF name: crime 12.pdf | Page number: 47 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:34,551 - PDF name: crime 12.pdf | Page number: 48 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:34,607 - PDF name: crime 12.pdf | Page number: 49 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:34,661 - PDF name: crime 12.pdf | Page number: 50 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:34,701 - PDF name: crime 12.pdf | Page number: 51 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:34,777 - PDF name: crime 12.pdf | Page number: 52 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:34,887 - PDF name: crime 12.pdf | Page number: 53 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,080 - PDF name: crime 13.pdf | Page number: 2 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,127 - PDF name: crime 13.pdf | Page number: 3 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,175 - PDF name: crime 13.pdf | Page number: 4 | Tables extracted: 2 | Success | Error message: None
2026-07-08 15:06:35,218 - PDF name: crime 13.pdf | Page number: 5 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,253 - PDF name: crime 13.pdf | Page number: 6 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,280 - PDF name: crime 13.pdf | Page number: 7 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,310 - PDF name: crime 13.pdf | Page number: 8 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,341 - PDF name: crime 13.pdf | Page number: 9 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,369 - PDF name: crime 13.pdf | Page number: 10 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,414 - PDF name: crime 13.pdf | Page number: 11 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,444 - PDF name: crime 13.pdf | Page number: 12 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,473 - PDF name: crime 13.pdf | Page number: 13 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,533 - PDF name: crime 13.pdf | Page number: 14 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,740 - PDF name: crime 13.pdf | Page number: 15 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,774 - PDF name: crime 13.pdf | Page number: 16 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,816 - PDF name: crime 13.pdf | Page number: 17 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,845 - PDF name: crime 13.pdf | Page number: 18 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:35,877 - PDF name: crime 13.pdf | Page number: 19 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:36,205 - PDF name: crime 13.pdf | Page number: 20 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:36,307 - PDF name: crime 13.pdf | Page number: 21 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:36,433 - PDF name: crime 13.pdf | Page number: 22 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:36,562 - PDF name: crime 13.pdf | Page number: 23 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:36,682 - PDF name: crime 13.pdf | Page number: 24 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:36,808 - PDF name: crime 13.pdf | Page number: 25 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:36,932 - PDF name: crime 13.pdf | Page number: 26 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:37,048 - PDF name: crime 13.pdf | Page number: 27 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:37,162 - PDF name: crime 13.pdf | Page number: 28 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:37,294 - PDF name: crime 13.pdf | Page number: 29 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:37,415 - PDF name: crime 13.pdf | Page number: 30 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:37,620 - PDF name: crime 13.pdf | Page number: 31 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:37,649 - PDF name: crime 13.pdf | Page number: 32 | Tables extracted: 1 | Success | Error message: None
2026-07-08 15:06:37,771 - PDF name: crime 13.pdf | Page number: 33 | Tables extracted: 1 | Success | Error message: None
